PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
101342	767 RIVER RD	405/  38/  2000/  / 	405	38	2000	  3776/0216	"$1,721,800 "	"$1,823,100 "	5	1013	SFR WATER  MDL-01	RD	1	2016	"$811,300 "	"$1,011,800 "	"$1,823,100 "	"$2,000,000 "	2/18/11			"$1,339,200 "	"$1,421,600 "		"$382,600 "
1375	41 DAVISON LN	416/  12/  /  / 	416	12		  2512/0632	"$1,714,900 "	"$2,739,000 "	700	1010	SINGLE FAM MDL01	RD	1	2016	"$1,351,300 "	"$1,387,700 "	"$2,739,000 "	"$969,000 "	1/17/01	"$2,667 "	1/4/01	"$1,736,800 "	"$2,663,500 "		"($21,900)"
800	100 HIGHBRIDGE RD	407/  110/  /  / 	407	110		  4403/0217	"$1,578,300 "	"$1,627,000 "	13.49	1010	SINGLE FAM MDL01	RD	1	2016	"$1,249,900 "	"$377,100 "	"$1,627,000 "	"$1,600,000 "	11/26/18			"$1,437,200 "	"$1,481,100 "		"$141,100 "
881	56 HORTON LN	408/  43/  /  / 	408	43		  2510/0926	"$1,562,300 "	"$1,644,300 "	20	1010	SINGLE FAM MDL01	RD	1	2016	"$1,181,700 "	"$462,600 "	"$1,644,300 "	"$485,000 "	1/12/01	"$80,000 "	12/15/80	"$1,351,400 "	"$1,425,900 "		"$210,900 "
749	28 CLOVER MILL LN	407/  69/  /  / 	407	69		  4560/ 317	"$1,540,000 "	"$1,651,100 "	36.97	1010	SINGLE FAM MDL01	RD	1	2016	"$1,062,400 "	"$588,700 "	"$1,651,100 "	"$1,557,500 "	9/30/20	"$1,087,533 "	9/29/03	"$1,428,100 "	"$1,547,800 "		"$111,900 "
170	1 HIGH ST	201/  120/  /  / 	201	120		  3546/0936	"$1,492,300 "	"$1,492,300 "	3.11	903R	MUNICIPAL MDL-01	LCD	2	2016	"$1,225,500 "	"$266,800 "	"$1,492,300 "	$0 	9/2/08			"$1,299,500 "	"$1,299,500 "		"$192,800 "
104	5 MAIN ST	201/  73/  /  / 	201	73		  3457/0514	"$1,449,300 "	"$1,449,300 "	0.96	3220	STORE/SHOP  MDL-94	LCD	1	2016	"$1,055,000 "	"$394,300 "	"$1,449,300 "	"$500,000 "	10/12/07	"$400,000 "	1/2/87	"$1,222,500 "	"$1,222,500 "		"$226,800 "
138	1 DORCHESTER RD	201/  95/  /  / 	201	95		  1005/ 574	"$1,440,500 "	"$1,440,500 "	0.33	906I	CHURCH ETC  MDL-96	LCD	1	2016	"$1,194,500 "	"$246,000 "	"$1,440,500 "	$0 				"$1,329,600 "	"$1,329,600 "		"$110,900 "
887	36 HORTON LN	408/  47/  1000/  / 	408	47	1000	  4027/0777	"$1,415,400 "	"$1,527,900 "	30.1	1010	SINGLE FAM MDL01	RD	1	2016	"$1,053,200 "	"$474,700 "	"$1,527,900 "	"$1,490,000 "	11/26/13	"$285,000 "	9/18/95	"$1,349,500 "	"$1,451,500 "		"$65,900 "
1373	226 PINNACLE RD	416/  10/  /  / 	416	10		  1529/0441	"$1,404,700 "	"$1,599,700 "	44.5	1090	MULTI HSES	RD	2	2016	"$970,800 "	"$628,900 "	"$1,599,700 "	"$190,000 "	12/19/84			"$1,349,700 "	"$1,526,800 "		"$55,000 "
