PID	Street Address	MBLU	Map	Lot	Unit	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Assess.	Prev. Apprais		Increased Assessment
25	30 MARKET ST	201/  18/  /  / 	201	18		  2510/0517	"$581,100 "	"$581,100 "	0.5	1010	SINGLE FAM MDL01	RD	1	2016	"$410,600 "	"$170,500 "	"$581,100 "	"$290,000 "	12/14/00	"$30,000 "	5/17/83	"$468,400 "	"$468,400 "		"$112,700 "
150	44 HIGH ST (FIRE STATION)	201/  103/  /  / 	201	103		 	"$580,900 "	"$580,900 "	1.28	9032	FIRE	LCD	1	2016	"$410,700 "	"$170,200 "	"$580,900 "	$0 				"$253,500 "	"$253,500 "		"$327,400 "
949	14 FRANKLIN HILL RD	409/  5/  /  / 	409	5		  4520/ 198	"$580,300 "	"$766,100 "	112	1010	SINGLE FAM MDL01	RD	1	2016	"$379,200 "	"$386,900 "	"$766,100 "	"$730,000 "	5/18/20	"$285,000 "	5/1/86	"$550,600 "	"$1,001,400 "		"$29,700 "
484	131 NORTH THETFORD RD	404/  9/  /  / 	404	9		  4356/0716	"$578,800 "	"$578,800 "	2.3	1010	SINGLE FAM MDL01	RD	1	2016	"$396,600 "	"$182,200 "	"$578,800 "	$0 	4/30/18	"$97,619 "	9/23/93	"$551,500 "	"$551,500 "		"$27,300 "
77	13 UNION ST	201/  51/  2000/  / 	201	51	2000	  3831/0623	"$578,400 "	"$578,400 "	2.07	1010	SINGLE FAM MDL01	LCD	1	2016	"$343,500 "	"$234,900 "	"$578,400 "	"$501,000 "	11/1/11	"$308,500 "	1/12/02	"$544,900 "	"$544,900 "		"$33,500 "
835	96 ORFORD RD	407/  139/  /  / 	407	139		  2123/0419	"$578,200 "	"$578,200 "	7.39	1010	SINGLE FAM MDL01	RD	2	2016	"$342,000 "	"$236,200 "	"$578,200 "	$0 	12/15/94	"$4,000 "	6/23/88	"$497,600 "	"$497,600 "		"$80,600 "
124	26+28 PLEASANT ST	201/  87/  /  / 	201	87		  4171/ 903	"$577,900 "	"$577,900 "	1	1050	THREE FAM	LCD	2	2016	"$354,900 "	"$223,000 "	"$577,900 "	"$455,000 "	11/17/15			"$466,900 "	"$466,900 "		"$111,000 "
39	14 ON THE COMMON	201/  31/  1000/  / 	201	31	1000	  4554/ 777	"$576,700 "	"$576,700 "	3.08	1040	TWO FAMILY	LCD	1	2016	"$339,700 "	"$237,000 "	"$576,700 "	"$640,000 "	9/15/20	"$440,000 "	5/20/05	"$630,100 "	"$630,100 "		"($53,400)"
1227	39 SMITH MOUNTAIN RD	414/  14/  /  / 	414	14		  4085/ 718	"$574,300 "	"$785,600 "	65	1010	SINGLE FAM MDL01	MFD	1	2016	"$425,300 "	"$360,300 "	"$785,600 "	"$785,000 "	10/1/14	"$55,000 "	4/28/88	"$550,400 "	"$742,200 "		"$23,900 "
288	61 RIVER RD	401/  75/  /  / 	401	75		  3753/0938	"$573,700 "	"$573,700 "	1.9	1013	SFR WATER  MDL-01	RD	1	2016	"$245,600 "	"$328,100 "	"$573,700 "	$0 	12/1/10	"$90,000 "	7/26/84	"$511,300 "	"$511,300 "		"$62,400 "
303	23 WASHBURN HILL RD	402/  11/  /  / 	402	11		  3835/0890	"$571,300 "	"$571,300 "	7.9	1040	TWO FAMILY	RD	2	2016	"$392,100 "	"$179,200 "	"$571,300 "	$0 	11/16/11	"$20,650 "	12/18/99	"$453,700 "	"$453,700 "		"$117,600 "
438	319 RIVER RD	403/  21/  /  / 	403	21		PRO-00342	"$570,500 "	"$570,500 "	0.69	1040	TWO FAMILY	RD	1	2016	"$308,800 "	"$261,700 "	"$570,500 "	$0 	5/30/12	"$189,000 "	7/7/95	"$486,800 "	"$486,800 "		"$83,700 "
93	6 EAST THETFORD RD	201/  67/  /  / 	201	67		  4321/0698	"$570,100 "	"$570,100 "	0.7	1010	SINGLE FAM MDL01	LCD	1	2016	"$365,800 "	"$204,300 "	"$570,100 "	"$589,000 "	10/30/17	"$485,000 "	9/16/08	"$486,900 "	"$486,900 "		"$83,200 "
880	11 HORTON LN	408/  42/  /  / 	408	42		  4217/0999	"$566,000 "	"$608,700 "	11.69	1010	SINGLE FAM MDL01		1	2016	"$384,400 "	"$224,300 "	"$608,700 "	$0 	6/29/16	"$170,000 "	12/30/14	"$505,800 "	"$544,500 "		"$60,200 "
1323	254 DORCHESTER RD	414/  64/  /  / 	414	64		  3620/0440	"$566,000 "	"$566,000 "	8.6	1010	SINGLE FAM MDL01	RD	1	2016	"$402,700 "	"$163,300 "	"$566,000 "	"$455,000 "	6/22/09	"$190,000 "	10/30/90	"$540,200 "	"$540,200 "		"$25,800 "
833	100 ORFORD RD	407/  137/  /  / 	407	137		  2525/0653	"$565,800 "	"$565,800 "	2.67	1090	MULTI HSES	RD	2	2016	"$385,800 "	"$180,000 "	"$565,800 "	$0 	3/22/01			"$410,000 "	"$410,000 "		"$155,800 "
649	45 POST POND LN	407/  10/  /  / 	407	10		  2039/0056	"$563,900 "	"$563,900 "	0.42	1013	SFR WATER  MDL-01		1	2016	"$309,000 "	"$254,900 "	"$563,900 "	"$357,524 "	7/23/93	"$115,053 "	2/20/90	"$551,100 "	"$551,100 "		"$12,800 "
1335	34 HARDSCRABBLE LN	415/  11/  /  / 	415	11		  2416/0844	"$562,600 "	"$562,600 "	20	1010	SINGLE FAM MDL01	RD	1	2016	"$307,900 "	"$254,700 "	"$562,600 "	"$249,000 "	5/7/99	"$95,000 "	9/14/88	"$553,200 "	"$553,200 "		"$9,400 "
1213	45 POUT POND LN	414/  7/  /  / 	414	7		  4207/0517	"$560,900 "	"$560,900 "	3.46	1010	SINGLE FAM MDL01		1	2016	"$371,600 "	"$189,300 "	"$560,900 "	"$565,000 "	5/20/16	"$541,000 "	7/31/12	"$554,300 "	"$554,300 "		"$6,600 "
799	112 HIGHBRIDGE RD	407/  109/  /  / 	407	109		  3926/0840	"$558,800 "	"$558,800 "	5.1	1010	SINGLE FAM MDL01	RD	1	2016	"$375,900 "	"$182,900 "	"$558,800 "	$0 	10/24/12	"$555,000 "	10/15/07	"$524,800 "	"$524,800 "		"$34,000 "
488	534 RIVER RD	404/  13/  /  / 	404	13		  2037/0625	"$558,200 "	"$558,200 "	1.78	1010	SINGLE FAM MDL01	RD	1	2016	"$309,400 "	"$248,800 "	"$558,200 "	"$146,467 "	6/21/93	"$20,000 "	12/14/60	"$493,200 "	"$493,200 "		"$65,000 "
616	376 ORFORD RD	406/  12/  /  / 	406	12		  4334/0164	"$556,900 "	"$556,900 "	4.3	1040	TWO FAMILY	RD	1	2016	"$403,700 "	"$153,200 "	"$556,900 "	$0 	12/26/17	"$173,000 "	7/16/99	"$404,800 "	"$404,800 "		"$152,100 "
149	48 HIGH ST	201/  102/  2000/  / 	201	102	2000	  4403/0829	"$556,800 "	"$556,800 "	1.51	3050	HOSP PVT	LCD	1	2016	"$385,600 "	"$171,200 "	"$556,800 "	$0 	11/29/18	"$20,000 "	8/1/95	"$420,300 "	"$420,300 "		"$136,500 "
13	18 DORCHESTER RD	201/  10/  /  / 	201	10		  1812/0014	"$556,400 "	"$556,400 "	1.6	1010	SINGLE FAM MDL01	LCD	2	2016	"$275,700 "	"$280,700 "	"$556,400 "	"$121,000 "	7/6/89			"$444,000 "	"$444,000 "		"$112,400 "
34	4 MARKET ST	201/  27/  /  / 	201	27		  4368/0297	"$552,900 "	"$552,900 "	0.4	1010	SINGLE FAM MDL01	LCD	1	2016	"$395,200 "	"$157,700 "	"$552,900 "	$0 	6/19/18	"$135,000 "	2/1/88	"$557,400 "	"$557,400 "		"($4,500)"
1022	68 ISAAC PERKINS RD	409/  67/  /  / 	409	67		  3277/0647	"$552,800 "	"$765,700 "	52	1010	SINGLE FAM MDL01	RD	1	2016	"$370,500 "	"$395,200 "	"$765,700 "	$0 	4/11/06			"$396,600 "	"$589,500 "		"$156,200 "
538	133 BRECK HILL RD	405/  9/  /  / 	405	9		  4359/0442	"$552,600 "	"$636,400 "	18.29	1010	SINGLE FAM MDL01		1	2016	"$377,000 "	"$259,400 "	"$636,400 "	"$475,000 "	5/10/18			"$513,700 "	"$589,700 "		"$38,900 "
94	4 EAST THETFORD RD	201/  68/  /  / 	201	68		  2263/0290	"$551,900 "	"$551,900 "	0.55	1010	SINGLE FAM MDL01	LCD	1	2016	"$372,700 "	"$179,200 "	"$551,900 "	"$208,000 "	7/29/97	"$126,600 "	10/6/93	"$445,300 "	"$445,300 "		"$106,600 "
376	192 RIVER RD	402/  78/  /  / 	402	78		  2998/0599	"$551,200 "	"$714,100 "	50.5	1010	SINGLE FAM MDL01	RD	1	2016	"$387,900 "	"$326,200 "	"$714,100 "	$0 	5/6/04			"$474,600 "	"$622,600 "		"$76,600 "
292	294 DARTMOUTH COLLEGE HY	402/  1/  1000/  / 	402	1	1000	  2980/0489	"$550,500 "	"$945,700 "	86	1010	SINGLE FAM MDL01	RD	3	2016	"$376,400 "	"$569,300 "	"$945,700 "	$0 	4/8/04			"$454,300 "	"$812,600 "		"$96,200 "
871	61 DORCHESTER RD	408/  33/  /  / 	408	33		  4199/0453	"$548,600 "	"$548,600 "	7.7	1010	SINGLE FAM MDL01	RD	1	2016	"$367,100 "	"$181,500 "	"$548,600 "	$0 	4/13/16	"$55,895 "	12/6/89	"$495,900 "	"$495,900 "		"$52,700 "
188	30 PRESTON RD	401/  3/  /  / 	401	3		  4279/0380	"$547,900 "	"$604,600 "	13.87	1010	SINGLE FAM MDL01	RD	1	2016	"$329,500 "	"$275,100 "	"$604,600 "	"$425,000 "	4/21/17	"$80,000 "	4/20/05	"$396,100 "	"$447,400 "		"$151,800 "
100122	378 DORCHESTER RD	414/  55/  /  / 	414	55		  4246/0965	"$546,700 "	"$667,300 "	30	1010	SINGLE FAM MDL01	R	1	2016	"$386,900 "	"$280,400 "	"$667,300 "	$0 	10/9/16	"$115,000 "	7/17/00	"$441,700 "	"$550,700 "		"$105,000 "
1004	63 BAKER HILL RD	409/  54/  /  / 	409	54		  3445/0201	"$546,100 "	"$546,100 "	7.2	1010	SINGLE FAM MDL01	RD	1	2016	"$370,900 "	"$175,200 "	"$546,100 "	"$480,000 "	8/31/07	"$90,000 "	4/28/95	"$455,200 "	"$455,200 "		"$90,900 "
65	24 UNION ST	201/  45/  /  / 	201	45		  4164/ 281	"$544,900 "	"$544,900 "	1.1	1010	SINGLE FAM MDL01	LCD	1	2016	"$316,000 "	"$228,900 "	"$544,900 "	$0 	10/1/15	"$460,000 "	4/26/13	"$489,500 "	"$489,500 "		"$55,400 "
187	40 PRESTON RD	401/  2/  /  / 	401	2		  1342/0923	"$544,300 "	"$695,800 "	43.5	1010	SINGLE FAM MDL01	RD	2	2016	"$351,200 "	"$344,600 "	"$695,800 "	$0 				"$390,600 "	"$527,600 "		"$153,700 "
101	1 MAIN          ST (67% INT)	201/  70/  0020/  / 	201	70	20	  4023/0680	"$543,900 "	"$543,900 "	0	340C	OFF CONDO  MDL-94	LCD	2	2016	"$543,900 "	$0 	"$543,900 "	$0 	11/6/13	"$215,048 "	12/31/92	"$543,200 "	"$543,200 "		$700 
100543	85 DARTMOUTH COLLEGE HY #8010	401/  55/  801/  / 	401	55	801	  4385/0646	"$543,400 "	"$543,400 "	0	1021	CONDO NL  MDL-05	BD	1	2016	"$543,400 "	$0 	"$543,400 "	"$500,000 "	8/31/18	"$470,000 "	2/14/03	"$496,700 "	"$496,700 "		"$46,700 "
95	2 EAST THETFORD RD	201/  69/  /  / 	201	69		  2501/0649	"$542,700 "	"$542,700 "	0.72	1040	TWO FAMILY		1	2016	"$335,100 "	"$207,600 "	"$542,700 "	"$280,000 "	11/21/00	"$140,000 "	2/3/93	"$476,200 "	"$476,200 "		"$66,500 "
966	185 DORCHESTER RD	409/  19/  /  / 	409	19		  3662/0521	"$542,200 "	"$542,200 "	0.87	1010	SINGLE FAM MDL01	LCD	1	2016	"$376,200 "	"$166,000 "	"$542,200 "	$0 	11/12/09	"$261,500 "	7/14/97	"$474,800 "	"$474,800 "		"$67,400 "
743	23 CLOVER MILL LN	407/  63/  /  / 	407	63		  4600/ 687	"$542,000 "	"$542,000 "	9.32	1010	SINGLE FAM MDL01	RD	1	2016	"$234,900 "	"$307,100 "	"$542,000 "	$0 	2/8/21	"$430,000 "	8/25/12	"$470,200 "	"$470,200 "		"$71,800 "
363	5 SLOAN LN	402/  65/  /  / 	402	65		  4298/0564	"$540,600 "	"$540,600 "	0.66	1010	SINGLE FAM MDL01	RD	1	2016	"$412,500 "	"$128,100 "	"$540,600 "	"$497,266 "	7/18/17	"$214,000 "	3/3/09	"$423,100 "	"$423,100 "		"$117,500 "
1222	75 FLINT HILL RD	414/  11/  1100/  / 	414	11	1100	  4110/0719	"$539,000 "	"$611,500 "	12.8	1010	SINGLE FAM MDL01	RD	3	2016	"$343,200 "	"$268,300 "	"$611,500 "	$0 	2/13/15	"$425,000 "	2/20/09	"$471,300 "	"$537,100 "		"$67,700 "
1468	500 DORCHESTER RD	420/  28/  /  / 	420	28		  2318/ 676	"$538,300 "	"$647,600 "	30.5	1040	TWO FAMILY	ELD	1	2016	"$280,800 "	"$366,800 "	"$647,600 "	"$20,000 "	5/29/98	"$4,000 "	6/4/97	"$418,700 "	"$517,900 "		"$119,600 "
27	22 MARKET ST	201/  20/  /  / 	201	20		  3701/0145	"$536,700 "	"$536,700 "	2.08	1010	SINGLE FAM MDL01	LCD	1	2016	"$326,700 "	"$210,000 "	"$536,700 "	$0 	5/17/10	"$437,533 "	8/21/08	"$509,800 "	"$509,800 "		"$26,900 "
100722	5 WILMOTT WY	401/  58/  /  / 	401	58		  3989/0082	"$536,300 "	"$536,300 "	1.7	1010	SINGLE FAM MDL01	RD	1	2016	"$359,600 "	"$176,700 "	"$536,300 "	"$440,000 "	6/20/13	"$172,533 "	7/22/05	"$441,100 "	"$441,100 "		"$95,200 "
1144	347 BAKER HILL RD	410/  80/  /  / 	410	80		  4528/ 957	"$535,800 "	"$684,000 "	40.8	1010	SINGLE FAM MDL01	RD	1	2016	"$384,800 "	"$299,200 "	"$684,000 "	"$606,700 "	6/19/20	"$526,000 "	11/14/17	"$516,700 "	"$701,100 "		"$19,100 "
1120	293 BAKER HILL RD	410/  57/  /  / 	410	57		  3456/0827	"$534,200 "	"$602,700 "	24	1010	SINGLE FAM MDL01	RD	1	2016	"$370,500 "	"$232,200 "	"$602,700 "	"$500,000 "	10/9/07	"$210,000 "	7/27/00	"$477,400 "	"$539,400 "		"$56,800 "
1005	67 + 69 BAKER HILL RD	409/  55/  /  / 	409	55		  1967/0936	"$533,100 "	"$533,100 "	2.2	1090	MULTI HSES	RD	2	2016	"$348,300 "	"$184,800 "	"$533,100 "	"$180,000 "	5/15/92	"$165,000 "	7/23/90	"$427,600 "	"$427,600 "		"$105,500 "
101542	675 RIVER RD	405/  33/  /  / 	405	33		  2001/0552	"$531,100 "	"$1,292,100 "	105.9	1013	SFR WATER  MDL-01	RD	1	2016	"$203,700 "	"$1,088,400 "	"$1,292,100 "	$0 	3/4/03			"$381,600 "	"$1,041,400 "		"$149,500 "
570	655 RIVER RD	405/  30/  2000/  / 	405	30	2000	  2142/0379	"$528,000 "	"$762,400 "	27.54	1013	SFR WATER  MDL-01	RD	3	2016	"$184,400 "	"$578,000 "	"$762,400 "	"$175,000 "	5/19/95	"$220,000 "	7/20/94	"$420,400 "	"$625,600 "		"$107,600 "
101162	15 MAIN ST	201/  77/  E/  / 	201	77	E	  4157/0986	"$526,400 "	"$526,400 "	0.8	912	HISTORICAL/APT	LCD	1	2016	"$273,300 "	"$253,100 "	"$526,400 "	"$553,000 "	9/17/15	"$525,000 "	5/12/10	"$487,300 "	"$487,300 "		"$39,100 "
593	80 BRECK HILL RD	405/  46/  /  / 	405	46		  4366/0205	"$525,600 "	"$606,800 "	25	1010	SINGLE FAM MDL01	RD	1	2016	"$234,800 "	"$372,000 "	"$606,800 "	"$250,000 "	6/8/16	"$2,666 "	7/12/02	"$412,200 "	"$485,700 "		"$113,400 "
254	43 DARTMOUTH COLLEGE HY	401/  51/  /  / 	401	51		  4388/0289	"$525,500 "	"$835,600 "	53.9	1010	SINGLE FAM MDL01	RD	1	2016	"$374,700 "	"$460,900 "	"$835,600 "	$0 	9/13/18			"$360,700 "	"$641,700 "		"$164,800 "
996	182 DORCHESTER RD	409/  49/  /  / 	409	49		  1824/  73	"$522,800 "	"$522,800 "	2.1	101	Single Fam	LCD	1	2016	"$336,100 "	"$186,700 "	"$522,800 "	"$225,053 "	9/22/89	"$125,000 "	6/3/87	"$474,700 "	"$474,700 "		"$48,100 "
1255	265 DORCHESTER RD	414/  30/  1000/  / 	414	30	1000	  4552/ 717	"$521,300 "	"$521,300 "	7.6	1010	SINGLE FAM MDL01	ES	1	2016	"$363,500 "	"$157,800 "	"$521,300 "	"$550,000 "	9/9/20	"$409,733 "	4/15/13	"$409,900 "	"$409,900 "		"$111,400 "
1272	393 DORCHESTER RD	414/  41/  /  / 	414	41		  4234/0785	"$520,900 "	"$738,300 "	76	1010	SINGLE FAM MDL01	RD	1	2016	"$369,200 "	"$369,100 "	"$738,300 "	$0 	9/19/16			"$487,200 "	"$684,400 "		"$33,700 "
752	89 WHIPPLE HILL RD	407/  72/  /  / 	407	72		  4459/0802	"$520,600 "	"$592,300 "	19.33	1010	SINGLE FAM MDL01		1	2016	"$335,600 "	"$256,700 "	"$592,300 "	$0 	8/23/19	"$190,000 "	9/28/00	"$479,000 "	"$551,400 "		"$41,600 "
527	68 NORTH THETFORD RD	404/  48/  2000/  / 	404	48	2000	  2267/0853	"$520,100 "	"$520,100 "	5.78	1010	SINGLE FAM MDL01		1	2016	"$312,700 "	"$207,400 "	"$520,100 "	$0 	8/6/97			"$508,600 "	"$508,600 "		"$11,500 "
195	298 BAKER HILL RD	401/  10/  /  / 	401	10		  3547/0074	"$519,700 "	"$519,700 "	5.2	1010	SINGLE FAM MDL01	RD	1	2016	"$343,500 "	"$176,200 "	"$519,700 "	"$475,000 "	9/3/08	"$320,000 "	9/18/06	"$466,100 "	"$466,100 "		"$53,600 "
474	20 RECORDRIDGE LN	403/  53/  /  / 	403	53		002833/0065	"$519,200 "	"$519,200 "	5.7	1010	SINGLE FAM MDL01		1	2016	"$319,200 "	"$200,000 "	"$519,200 "	"$146,000 "	6/9/03	"$100,000 "	2/3/92	"$499,200 "	"$499,200 "		"$20,000 "
626	264 ORFORD RD	406/  23/  /  / 	406	23		  2152/0508	"$518,700 "	"$617,100 "	46.89	1010	SINGLE FAM MDL01		1	2016	"$305,900 "	"$311,200 "	"$617,100 "	"$213,000 "	8/1/95	"$199,000 "	7/1/94	"$493,400 "	"$582,700 "		"$25,300 "
891	129 FRANKLIN HILL RD	408/  48/  2000/  / 	408	48	2000	  4621/ 264	"$516,800 "	"$596,500 "	12.75	1010	SINGLE FAM MDL01	RD	1	2016	"$403,600 "	"$192,900 "	"$596,500 "	"$617,000 "	4/15/21	"$525,000 "	3/14/13	"$447,900 "	"$513,500 "		"$68,900 "
1352	82 POUT POND LN	415/  20/  1000/  / 	415	20	1000	  2179/ 517	"$515,700 "	"$737,500 "	67.57	1010	SINGLE FAM MDL01	MFD	1	2016	"$280,600 "	"$456,900 "	"$737,500 "	"$115,000 "	1/29/96	"$300,000 "	3/26/86	"$492,900 "	"$699,100 "		"$22,800 "
317	71 PRESTON RD	402/  25/  /  / 	402	25		  2411/0774	"$514,700 "	"$514,700 "	2	1010	SINGLE FAM MDL01		1	2016	"$361,800 "	"$152,900 "	"$514,700 "	"$289,500 "	8/6/99	"$155,000 "	8/21/89	"$489,300 "	"$489,300 "		"$25,400 "
167	4 CREAMERY LN	201/  117/  /  / 	201	117		  2249/0467	"$513,300 "	"$513,300 "	1.53	101	Single Fam	LCD	2	2016	"$289,300 "	"$224,000 "	"$513,300 "	$0 	12/2/96	"$138,500 "	9/22/95	"$390,100 "	"$390,100 "		"$123,200 "
517	2 BRECK HILL RD	404/  42/  /  / 	404	42		  3901/0778	"$513,000 "	"$613,500 "	16.4	1040	TWO FAMILY	RD	1	2016	"$331,700 "	"$281,800 "	"$613,500 "	$0 	7/24/12			"$450,300 "	"$541,200 "		"$62,700 "
59	36 UNION ST	201/  39/  /  / 	201	39		002867/0533	"$511,800 "	"$511,800 "	0.39	1010	SINGLE FAM MDL01	LCD	1	2016	"$355,300 "	"$156,500 "	"$511,800 "	"$210,000 "	8/4/03	"$169,000 "	11/9/01	"$496,100 "	"$496,100 "		"$15,700 "
565	639 RIVER RD	405/  29/  /  / 	405	29		002884/0020	"$511,500 "	"$580,000 "	21	1010	SINGLE FAM MDL01	RD	1	2016	"$247,800 "	"$332,200 "	"$580,000 "	$0 	8/29/03	"$415,000 "	5/1/03	"$444,100 "	"$506,200 "		"$67,400 "
105	7 MAIN ST	201/  74/  /  / 	201	74		  3452/0881	"$510,400 "	"$510,400 "	0.4	3400	OFFICE BLD  MDL-94	LCD	1	2016	"$236,100 "	"$274,300 "	"$510,400 "	$0 	9/13/07	"$225,000 "	6/24/88	"$468,200 "	"$468,200 "		"$42,200 "
371	234 RIVER RD	402/  73/  /  / 	402	73		  4375/0574	"$509,100 "	"$509,100 "	2.18	1010	SINGLE FAM MDL01	RD	1	2016	"$342,300 "	"$166,800 "	"$509,100 "	"$515,000 "	7/19/18	"$480,000 "	12/7/15	"$477,500 "	"$477,500 "		"$31,600 "
826	7 MASA MOREY LN	407/  130/  /  / 	407	130		  3829/0418	"$509,000 "	"$610,200 "	29.8	1010	SINGLE FAM MDL01	RD	1	2016	"$301,900 "	"$308,300 "	"$610,200 "	$0 	10/25/11	"$29,000 "	11/19/86	"$431,500 "	"$523,400 "		"$77,500 "
518	120 NORTH THETFORD RD	404/  43/  /  / 	404	43		  4593/  46	"$508,600 "	"$508,600 "	7.1	1010	SINGLE FAM MDL01	RD	1	2016	"$290,800 "	"$217,800 "	"$508,600 "	"$525,000 "	1/12/21	"$420,000 "	3/14/11	"$452,800 "	"$452,800 "		"$55,800 "
326	188 DARTMOUTH COLLEGE HY	402/  32/  /  / 	402	32		002827/0527	"$507,900 "	"$507,900 "	2.26	1090	MULTI HSES		2	2016	"$327,800 "	"$180,100 "	"$507,900 "	"$474,000 "	5/29/03	"$248,400 "	10/3/02	"$476,900 "	"$476,900 "		"$31,000 "
921	77 ACORN HILL RD	408/  64/  2000/  / 	408	64	2000	  2446/0463	"$507,600 "	"$551,500 "	12.12	1090	MULTI HSES		2	2016	"$302,400 "	"$249,100 "	"$551,500 "	$0 	2/10/00	"$65,000 "	7/31/85	"$396,400 "	"$436,200 "		"$111,200 "
400	207 RIVER RD	402/  102/  /  / 	402	102		  4291/0231	"$502,200 "	"$502,200 "	1.8	1040	TWO FAMILY	RD	1	2016	"$339,100 "	"$163,100 "	"$502,200 "	$0 	6/20/17	"$200,000 "	6/11/97	"$449,100 "	"$449,100 "		"$53,100 "
490	526 RIVER RD	404/  15/  /  / 	404	15		PRO-2004	"$501,400 "	"$501,400 "	0.98	1010	SINGLE FAM MDL01	RD	1	2016	"$289,700 "	"$211,700 "	"$501,400 "	$0 	11/18/04			"$445,100 "	"$445,100 "		"$56,300 "
361	259 DARTMOUTH COLLEGE HY	402/  63/  /  / 	402	63		  2292/0821	"$501,200 "	"$712,000 "	40	1010	SINGLE FAM MDL01	RD	1	2016	"$344,600 "	"$367,400 "	"$712,000 "	"$4,000 "	1/14/98	"$218,000 "	8/10/87	"$435,400 "	"$626,700 "		"$65,800 "
943	66 FRANKLIN HILL RD	408/  74/  /  / 	408	74		  3618/0895	"$500,100 "	"$500,100 "	2.34	1010	SINGLE FAM MDL01	RD	1	2016	"$288,700 "	"$211,400 "	"$500,100 "	"$500,000 "	6/16/09	"$410,000 "	4/7/05	"$488,000 "	"$488,000 "		"$12,100 "
719	236 ORFORD RD	407/  55/  /  / 	407	55		  2105/0755	"$498,900 "	"$622,200 "	12.55	1010	SINGLE FAM MDL01	RD	1	2016	"$341,500 "	"$280,700 "	"$622,200 "	"$150,000 "	8/15/94	"$160,000 "	12/2/89	"$366,200 "	"$366,200 "		"$132,700 "
1040	2 BAKER HILL RD	409/  85/  /  / 	409	85		  2353/0323	"$498,800 "	"$498,800 "	0.53	1010	SINGLE FAM MDL01	LCD	1	2016	"$355,700 "	"$143,100 "	"$498,800 "	"$4,000 "	10/6/98	"$185,000 "	6/29/88	"$476,900 "	"$476,900 "		"$21,900 "
1266	353 DORCHESTER RD	414/  35/  /  / 	414	35		  1344/0648	"$497,400 "	"$497,400 "	5.5	1010	SINGLE FAM MDL01	RD	1	2016	"$324,100 "	"$173,300 "	"$497,400 "	"$57,500 "	6/13/78	"$32,500 "	11/8/74	"$442,400 "	"$442,400 "		"$55,000 "
1374	15 DAVISON LN	416/  11/  /  / 	416	11		  4124/0466	"$496,700 "	"$496,700 "	9.35	1010	SINGLE FAM MDL01	RD	1	2016	"$271,300 "	"$225,400 "	"$496,700 "	$0 	4/24/15	"$65,000 "	6/6/75	"$389,500 "	"$389,500 "		"$107,200 "
1196	18 CANAAN LEDGE LN	413/  23/  /  / 	413	23		  4516/ 908	"$494,300 "	"$494,300 "	2.2	1010	SINGLE FAM MDL01		1	2016	"$325,600 "	"$168,700 "	"$494,300 "	"$525,000 "	5/4/20	"$555,000 "	6/28/17	"$453,900 "	"$453,900 "		"$40,400 "
143	19 DORCHESTER RD	201/  100/  /  / 	201	100		  4223/0595	"$494,100 "	"$494,100 "	1.5	1010	SINGLE FAM MDL01	LCD	1	2016	"$287,200 "	"$206,900 "	"$494,100 "	"$465,000 "	7/29/16	"$222,000 "	9/2/93	"$471,200 "	"$471,200 "		"$22,900 "
1209	21 FLINT HILL RD	414/  3/  /  / 	414	3		  4140/0820	"$493,600 "	"$493,600 "	9	1010	SINGLE FAM MDL01	RD	1	2016	"$294,100 "	"$199,500 "	"$493,600 "	"$448,000 "	7/6/15	"$4,000 "	2/16/99	"$434,700 "	"$434,700 "		"$58,900 "
1230	30 SMITH MOUNTAIN RD	414/  17/  /  / 	414	17		  4111/0830	"$493,300 "	"$637,200 "	39	1010	SINGLE FAM MDL01	RD	1	2016	"$358,200 "	"$279,000 "	"$637,200 "	$0 	2/23/15			"$405,900 "	"$536,500 "		"$87,400 "
696	33 NORTH THETFORD RD	407/  36/  /  / 	407	36		  1558/0885	"$493,000 "	"$493,000 "	4.7	1010	SINGLE FAM MDL01	RD	1	2016	"$301,800 "	"$191,200 "	"$493,000 "	$0 				"$460,200 "	"$460,200 "		"$32,800 "
1156	322 GOOSE POND RD	411/  11/  /  / 	411	11		  4123/0285	"$492,800 "	"$564,700 "	15	1010	SINGLE FAM MDL01	RD	1	2016	"$343,100 "	"$221,600 "	"$564,700 "	$0 	4/27/15	"$20,500 "	9/23/77	"$447,100 "	"$512,400 "		"$45,700 "
229	320 BAKER HILL RD	401/  30/  1000/  / 	401	30	1000	  4086/ 693	"$492,300 "	"$492,300 "	2.6	1010	SINGLE FAM MDL01	RD	1	2016	"$312,700 "	"$179,600 "	"$492,300 "	"$400,000 "	10/3/14	"$376,000 "	7/8/11	"$395,400 "	"$395,400 "		"$96,900 "
868	45 DORCHESTER RD	408/  30/  /  / 	408	30		  3522/0112	"$491,800 "	"$583,600 "	25.95	1010	SINGLE FAM MDL01	LCD	1	2016	"$314,000 "	"$269,600 "	"$583,600 "	"$595,000 "	5/30/08	"$240,000 "	6/10/86	"$447,800 "	"$530,900 "		"$44,000 "
