PID,Location,Map,Lot,Unit,Town_Assessment,Scraped_Value
81, 25 UNION ST ,201,55,,429800.0,429800.0
1235, 115 FLINT HILL RD ,414,22,,235600.0,235600.0
9, 36 DORCHESTER RD ,201,6,,266800.0,266800.0
237, 138 GOOSE POND RD ,401,37,,133300.0,133300.0
955, 169 DORCHESTER RD ,409,11,,216000.0,216000.0
164, 8 HIGH ST ,201,113,,144500.0,144500.0
1, FLOWAGE RIGHTS ,100,1,,1254000.0,1254000.0
1037, 48 BAKER HILL RD ,409,82,,279800.0,279800.0
653, 53 POST POND LN ,407,14,,330900.0,330900.0
120, 4 BRITTON LN ,201,83,,822900.0,822900.0
4, POWER LINES ,100,4,,500.0,500.0
86, 37 UNION ST ,201,60,,700600.0,700600.0
797, 1 ORFORDVILLE RD ,407,107,,743600.0,743600.0
34, 4 MARKET ST ,201,27,,552900.0,552900.0
33, 6 MARKET ST ,201,26,,328000.0,328000.0
102771, 355 ORFORD RD ,406,5,,292200.0,292200.0
981, 201 DORCHESTER RD ,409,34,,399800.0,399800.0
140, 7 DORCHESTER RD ,201,97,,677700.0,677700.0
518, 120 NORTH THETFORD RD ,404,43,,508600.0,508600.0
954, 167 DORCHESTER RD ,409,10,,290800.0,290800.0
488, 534 RIVER RD ,404,13,,558200.0,558200.0
501, 535 RIVER RD ,404,26,,262800.0,262800.0
87, 19 EAST THETFORD RD ,201,61,,635700.0,635700.0
209, 51 GOOSE POND RD ,401,20,,262300.0,262300.0
702, 48 NORTH THETFORD RD ,407,42,,365500.0,365500.0
123, 30 PLEASANT ST ,201,86,,284100.0,284100.0
148,50 HIGH ST ,201,102,1000,306500.0,306500.0
149,48 HIGH ST ,201,102,2000,556800.0,556800.0
12, 22 DORCHESTER RD ,201,9,,487000.0,487000.0
1041, 176 DORCHESTER RD ,409,86,,465900.0,465900.0
101502, 44 BLISS LN ,410,51,,13400.0,13400.0
772, 11 PINNACLE RD ,407,91,,433300.0,433300.0
100503,85 DARTMOUTH COLLEGE HY #4040 ,401,55,404,233700.0,233700.0
484, 131 NORTH THETFORD RD ,404,9,,578800.0,578800.0
563, 609 RIVER RD ,405,27,,592200.0,592200.0
256,63-69 DARTMOUTH COLLEGE HY ,401,53,1000,1732200.0,1732200.0
1191, 96 GRAFTON TK ,413,17,,110100.0,110100.0
773, 21 PINNACLE RD ,407,92,,142900.0,142900.0
1123, 179 GOOSE POND RD ,410,60,,177500.0,177500.0
694, 17 NORTH THETFORD RD ,407,34,,343200.0,343200.0
229,320 BAKER HILL RD ,401,30,1000,492300.0,492300.0
258,85 DARTMOUTH COLLEGE HY #3010 ,401,55,301,378800.0,378800.0
221, 157 GOOSE POND RD ,401,25,,317500.0,317500.0
66, 22 UNION ST ,201,46,,449700.0,449700.0
449, 39 LAMPHIRE HILL LN ,403,32,,219900.0,219900.0
796, 153 PINNACLE RD ,407,106,,149500.0,149500.0
572, 669 RIVER RD ,405,32,,364900.0,364900.0
542, 668 RIVER RD ,405,13,,325500.0,325500.0
300, 232 DARTMOUTH COLLEGE HY ,402,8,,209900.0,209900.0
68, 5 BROOK LN ,201,48,,284100.0,284100.0
248, 7 HEWS LN ,401,45,,264000.0,264000.0
249, 13 HEWS LN ,401,46,,300200.0,300200.0
297, 244 DARTMOUTH COLLEGE HY ,402,5,,129200.0,129200.0
178,27 HIGH ST ,201,128,1000,358400.0,358400.0
102768,29 HIGH ST ,201,128,2000,109300.0,109300.0
298, 240 DARTMOUTH COLLEGE HY ,402,6,,286300.0,286300.0
225, 342 BAKER HILL RD ,401,29,,262700.0,262700.0
735,3 TAVERN LN ,407,60,2000,270500.0,270500.0
1343, 73 POUT POND LN ,415,18,,299200.0,299200.0
809, 65 HIGHBRIDGE RD ,407,117,,377700.0,377700.0
129, 10 PLEASANT ST ,201,92,,339800.0,339800.0
30, 10 MARKET ST ,201,23,,484900.0,484900.0
743, 23 CLOVER MILL LN ,407,63,,542000.0,542000.0
121, 34 PLEASANT ST ,201,84,,224200.0,224200.0
51,6 ON THE COMMON UNIT #2 ,201,35,20,160700.0,160700.0
1111, 60 BLISS LN ,410,48,,128800.0,128800.0
1200, 6 CANAAN LEDGE LN ,413,27,,296500.0,296500.0
815, 11 CUTTING HILL LN ,407,123,,672400.0,672400.0
1382, 16 DAVISON LN ,416,16,,958600.0,958600.0
1207, 5 FLINT HILL RD ,414,1,,16100.0,16100.0
270, 21 WILMOTT wy ,401,60,,172200.0,172200.0
283, 1 HOVEY ISLAND ,401,71,,197100.0,197100.0
1028, 65 ALDEN LN ,409,73,,12200.0,12200.0
101483, 192 GOOSE POND RD ,410,71,,144600.0,144600.0
399, 161 RIVER RD ,402,101,,750100.0,750100.0
308, 64 WASHBURN HILL RD ,402,16,,476700.0,476700.0
509, 25 BRECK HILL RD ,404,34,,600200.0,600200.0
287, 51 RIVER RD ,401,74,,863600.0,863600.0
101242,34 POUT POND LN ,409,23,2000,909300.0,909300.0
1102, 65 PICO RD ,410,39,,229000.0,229000.0
808, 53 HIGHBRIDGE RD ,407,116,,406700.0,406700.0
392, 133+137 RIVER RD ,402,94,,850400.0,850400.0
372,228 RIVER RD ,402,74,1000,428600.0,428600.0
299, 234 DARTMOUTH COLLEGE HY ,402,7,,241600.0,241600.0
1341, 67 POUT POND LN ,415,16,,738700.0,738700.0
102766, 616 RIVER RD ,405,20,,346100.0,346100.0
364, 7 SLOAN LN ,402,66,,212700.0,212700.0
1133, 216 GOOSE POND RD ,410,70,,232500.0,232500.0
238, 104 GOOSE POND RD ,401,38,,282400.0,282400.0
100442,85 DARTMOUTH COLLEGE HY #2020 ,401,55,202,387700.0,387700.0
176, 15 HIGH ST ,201,126,,294500.0,294500.0
799, 112 HIGHBRIDGE RD ,407,109,,558800.0,558800.0
267, 7 WILMOTT WY ,401,59,,189500.0,189500.0
1165, 101 GRAFTON TK ,413,1,,155600.0,155600.0
842, 15 ORFORD RD ,408,5,,210100.0,210100.0
154, 32 HIGH ST ,201,107,,164900.0,164900.0
792,91 PINNACLE RD ,407,102,1000,594300.0,594300.0
1203, 72 GRAFTON TK ,413,30,,327200.0,327200.0
983, 225 DORCHESTER RD ,409,36,,149400.0,149400.0
1485, 636 DORCHESTER RD ,421,17,,353900.0,353900.0
275, 12 WILMOTT wy ,401,65,,140000.0,140000.0
720,216 ORFORD RD ,407,56,1000,388200.0,388200.0
222, 5 PELTON LN ,401,26,,437800.0,437800.0
651, 49 POST POND LN ,407,12,,461400.0,461400.0
1025, 40 ISAAC PERKINS RD ,409,70,,479500.0,479500.0
1043, 166 DORCHESTER RD ,409,88,,226100.0,226100.0
1457, 632 DORCHESTER RD ,420,17,,281100.0,281100.0
859,70 ORFORD RD ,408,22,1000,1021800.0,1021800.0
337, 17 MAPLE LN ,402,43,,827800.0,827800.0
1136, 182 GOOSE POND RD ,410,73,,175000.0,175000.0
351, 211 DARTMOUTH COLLEGE HY ,402,56,,433600.0,433600.0
1267, 359 DORCHESTER RD ,414,36,,326100.0,326100.0
600, 301 ORFORD RD ,406,3,,261800.0,261800.0
80, 21 UNION ST ,201,54,,618800.0,618800.0
133,6 JOHN THOMSON WY(HORSESHD) ,201,93,200,42000.0,42000.0
138, 1 DORCHESTER RD ,201,95,,1440500.0,1440500.0
139, 5 DORCHESTER RD ,201,96,,247800.0,247800.0
346, 155 DARTMOUTH COLLEGE HY ,402,51,,416100.0,416100.0
84, 35 UNION ST (ELEM SCHOOL) ,201,58,,5187300.0,5187300.0
35, 1 ON THE COMMON (COMMON) ,201,28,,29200.0,29200.0
40,18 MARKET ST (BIG ROCK) ,201,31,2000,43000.0,43000.0
58, 38 UNION ST (LIBRARY) ,201,38,,915600.0,915600.0
67, 20 UNION ST (BIG ROCK) ,201,47,,103200.0,103200.0
85, 39 UNION ST (LITTLE COMMON) ,201,59,,16900.0,16900.0
111, 1 PLEASANT ST (OLD CEMETERY ,201,78,,429100.0,429100.0
132,6 JOHN THOMSON WY (L/O) ,201,93,100,40300.0,40300.0
136,2 PLEASANT ST (JAILHOUSE) ,201,94,100,27400.0,27400.0
150, 44 HIGH ST (FIRE STATION) ,201,103,,580900.0,580900.0
161,24 HIGH ST (HIGHWAY GARAGE) ,201,110,1000,781700.0,781700.0
170, 1 HIGH ST ,201,120,,1492300.0,1492300.0
272, 30 WILMOTT WY (LAND ONLY) ,401,62,,11300.0,11300.0
333, 39 SHOESTRAP RD (OLD DUMP) ,402,39,,15700.0,15700.0
387, 111 RIVER RD (HEWES BROOK PRE ,402,89,,32300.0,32300.0
561, 597 RIVER RD (PORTER CEMETERY ,405,25,,12200.0,12200.0
598, 263 ORFORD RD (LAND ONLY) ,406,1,,35000.0,35000.0
643, 105 ORFORD RD (LAND ONLY) ,407,4,,40400.0,40400.0
757, 36 MUD TURTLE POND RD ,407,77,,251800.0,251800.0
849, 92 POST POND LN (LAND ONLY) ,408,12,,117700.0,117700.0
925, 171 ACORN HILL RD (LAND ONLY) ,408,68,,400.0,400.0
965, 183 DORCHESTER RD (LCAB) ,409,18,,755500.0,755500.0
1192, 17 CANAAN LEDGE LN (L/0O) ,413,19,,22300.0,22300.0
1193, 25 CANAAN LEDGE LN (L/0) ,413,20,,77500.0,77500.0
1270, 379 DORCHESTER RD (LAND ONLY) ,414,39,,5200.0,5200.0
1327, 4 TROUT POND LN (TROUT POND ,415,3,,435200.0,435200.0
1442, 517 DORCHESTER RD (BEALE CEM ,420,5,,10900.0,10900.0
1469, 637 DORCHESTER RD (LAND ONLY) ,421,1,,75600.0,75600.0
102712,24 HIGH ST (HIGHLAND CEMETER ,201,110,2000,258000.0,258000.0
102814,111 ORFORD RD (REC AREA) ,407,5,1000,391900.0,391900.0
102815,115 ORFORD RD (CHAFFEE) ,407,5,2000,126900.0,126900.0
633, 85 ORFORDVILLE RD (TOWN FORE ,406,30,,585800.0,585800.0
746, 63 WHIPPLE HILL RD ,407,66,,954900.0,954900.0
852, 108 POST POND LN ,408,15,,174600.0,174600.0
1213, 45 POUT POND LN ,414,7,,560900.0,560900.0
385, 101 RIVER RD ,402,87,,458500.0,458500.0
101642,11 PRESTON RD ,401,1,1000,442400.0,442400.0
750, 16 CLOVER MILL LN ,407,70,,1198700.0,1198700.0
991, 228 DORCHESTER RD ,409,44,,208800.0,208800.0
1071, 159 BAKER HILL RD ,410,12,,635400.0,635400.0
1212, 39 POUT POND LN ,414,6,,660800.0,660800.0
652, 51 POST POND LN ,407,13,,232200.0,232200.0
100164,85 DARTMOUTH COLLEGE HY #1050 ,401,55,105,224700.0,224700.0
100582,85 DARTMOUTH COLLEGE HY #9030 ,401,55,903,385200.0,385200.0
208, 47 GOOSE POND RD ,401,19,,323000.0,323000.0
441, 331 RIVER RD ,403,24,,840200.0,840200.0
953, 165 DORCHESTER RD ,409,9,,310100.0,310100.0
1449, 623 DORCHESTER RD ,420,9,,335600.0,335600.0
492, 520 RIVER RD ,404,17,,323100.0,323100.0
958,171 DORCHESTER RD ,409,12,1000,420200.0,420200.0
739,47 CULVER HILL LN ,407,60,6000,866800.0,866800.0
783,45 PINNACLE RD ,407,96,1200,246900.0,246900.0
853, 110 POST POND LN ,408,16,,204500.0,204500.0
402, 261 RIVER RD ,402,104,,2596300.0,2596300.0
328, 174 DARTMOUTH COLLEGE HY ,402,34,,339800.0,339800.0
144, 21 DORCHESTER RD ,201,101,,277800.0,277800.0
100482,85 DARTMOUTH COLLEGE HY #4030 ,401,55,403,212900.0,212900.0
869, 53 DORCHESTER RD ,408,31,,365300.0,365300.0
339, 48 SHOESTRAP RD ,402,45,,293300.0,293300.0
255, 61 DARTMOUTH COLLEGE HY ,401,52,,671900.0,671900.0
1211, 35 POUT POND LN ,414,5,,284000.0,284000.0
245, 36 GOOSE POND RD ,401,42,,319600.0,319600.0
576, 729 RIVER RD ,405,36,,3435400.0,3435400.0
1342, 69 POUT POND LN ,415,17,,686800.0,686800.0
368, 8 SLOAN LN ,402,70,,354600.0,354600.0
101243,32 POUT POND LN ,409,23,1000,842500.0,842500.0
1250, 8 FLINT HILL RD ,414,28,,447000.0,447000.0
580, 748 RIVER RD ,405,40,,19300.0,19300.0
327, 180 DARTMOUTH COLLEGE HY ,402,33,,397600.0,397600.0
655, 57 POST POND LN ,407,16,,913600.0,913600.0
1006, 71 BAKER HILL RD ,409,56,,271800.0,271800.0
947, 1 FRANKLIN HILL RD ,409,3,,478400.0,478400.0
100184,85 DARTMOUTH COLLEGE HY #7010 ,401,55,701,349600.0,349600.0
960, 175 DORCHESTER RD ,409,13,,324700.0,324700.0
831, 24 PINNACLE RD ,407,135,,1831900.0,1831900.0
183, 49 HIGH ST ,201,133,,113900.0,113900.0
94, 4 EAST THETFORD RD ,201,68,,551900.0,551900.0
973, 34 ACORN HILL RD ,409,26,,397100.0,397100.0
1201, 4 CANAAN LEDGE LN ,413,28,,396900.0,396900.0
100463,85 DARTMOUTH COLLEGE HY #2040 ,401,55,204,398200.0,398200.0
984, 227 DORCHESTER RD ,409,37,,209100.0,209100.0
69, 4 BROOK LN ,201,49,,8600.0,8600.0
102, 3 MAIN ST ,201,71,,111500.0,111500.0
159,30 HIGH ST ,201,109,1000,187300.0,187300.0
401, 187 RIVER RD ,402,103,,1188900.0,1188900.0
846, 41 ORFORD RD ,408,9,,113800.0,113800.0
1048, 130 DORCHESTER RD ,409,93,,4400.0,4400.0
835, 96 ORFORD RD ,407,139,,578200.0,578200.0
832, 10 PINNACLE RD ,407,136,,100800.0,100800.0
2, POWER LINES/L-37.62 MI ,100,2,,2695800.0,2695800.0
319,69 PRESTON RD ,402,26,1000,604700.0,604700.0
224, 12 PELTON LN ,401,28,,449600.0,449600.0
329, 166 DARTMOUTH COLLEGE HY ,402,35,,224000.0,224000.0
64, 26 UNION ST ,201,44,,322100.0,322100.0
56, 4 ON THE COMMON ,201,36,,1160900.0,1160900.0
427, 125 EAST THETFORD RD ,403,11,,479800.0,479800.0
57, 2 ON THE COMMON ,201,37,,925900.0,925900.0
519, 108 NORTH THETFORD RD ,404,44,,299000.0,299000.0
969, 45 ACORN HILL RD ,409,22,,299400.0,299400.0
469, 15 RECORDRIDGE LN ,403,48,,997000.0,997000.0
5, 58 DORCHESTER RD ,201,1,,261300.0,261300.0
1266, 353 DORCHESTER RD ,414,35,,497400.0,497400.0
1472, 643 DORCHESTER RD ,421,4,,287700.0,287700.0
295, 246 DARTMOUTH COLLEGE HY ,402,4,,236500.0,236500.0
296,246 DARTMOUTH COLLEGE HY ,402,4,1,131100.0,131100.0
695, 21 NORTH THETFORD RD ,407,35,,373100.0,373100.0
1367, 179 PINNACLE RD ,416,4,,222700.0,222700.0
100522,85 DARTMOUTH COLLEGE HY #5010 ,401,55,501,184400.0,184400.0
916,29 POUT POND LN ,408,61,2000,349500.0,349500.0
76,11 UNION ST ,201,51,1000,783100.0,783100.0
1051, 98 DORCHESTER RD ,409,95,,220800.0,220800.0
1015, 127 BAKER HILL RD ,409,60,,178600.0,178600.0
607, 396 ORFORD RD ,406,10,,373300.0,373300.0
648, 41 POST POND LN ,407,9,,1331000.0,1331000.0
964, 15 DERBY LN ,409,17,,211200.0,211200.0
545, 652+654 RIVER RD ,405,16,,270900.0,270900.0
1190, 100 GRAFTON TK ,413,16,,114300.0,114300.0
967, 187 DORCHESTER RD ,409,20,,605000.0,605000.0
978, 2 ACORN HILL RD ,409,31,,160200.0,160200.0
203, 102 DARTMOUTH COLLEGE HY ,401,14,,357500.0,357500.0
316, 55 PRESTON RD ,402,24,,410200.0,410200.0
99,1 MAIN ST (33% INT) ,201,70,10,295700.0,295700.0
101,1 MAIN ST (67% INT) ,201,70,20,543900.0,543900.0
830, 50 PINNACLE RD ,407,134,,298700.0,298700.0
169, 12 CREAMERY LN ,201,119,,265300.0,265300.0
63, 28 UNION ST ,201,43,,490500.0,490500.0
1450, 625 DORCHESTER RD ,420,10,,92100.0,92100.0
